title,price,link
Results,"11,999",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDE0NDE3Nzk1MjU5Mjc3OjE3NDkyMTM0Mzc6c3BfYXRmOjMwMDU3MjcwMzE0NTQzMjo6MDo6&url=%2FStorage-Display-Ultra-Thin-Dimensity-Processor%2Fdp%2FB0F4DK3PDS%2Fref%3Dsr_1_1_sspa%3Fcrid%3DNZN6KNCSII19%26dib%3DeyJ2IjoiMSJ9.9d3JJHt_Mb7bCieb19LZEJ47ubcMMh0Obcwkk0fmXO8zJULqs1_6SOhCDEFQg_43lASRMDYJJvzIopRRSJpkahYbCTKQfdPtyUPWilcYc6iUFEqZJkBdqrNdYSXQkBSxCm24MuK0scqoea1ZQ2Re9LDXjIjMZnRfERqpblWVCKDUWUBe1d0D-iO6I4-1hvJWAnr1KV-y8DsdzH028_wt1zgIBwTyVOfvkAW2oGfDGYw.e55EiqGeoFcoinWqzNMVrXv-JOjEE4On5dizBI9TIfo%26dib_tag%3Dse%26keywords%3Dmobile%2Bphone%2Bunder%2B20000%26qid%3D1749213437%26sprefix%3DMobile%252Caps%252C320%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Acer Super ZX 5G (Lunar Blue, 8GB RAM, 128GB Storage) | 120 Hz FHD+ Display | 5000 mAh Ultra-Thin Battery | Dimensity 6300 5G Processor | Sony 64MP AI Camera","11,999",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDE0NDE3Nzk1MjU5Mjc3OjE3NDkyMTM0Mzc6c3BfYXRmOjMwMDU3MjcwMzE0NTQzMjo6MDo6&url=%2FStorage-Display-Ultra-Thin-Dimensity-Processor%2Fdp%2FB0F4DK3PDS%2Fref%3Dsr_1_1_sspa%3Fcrid%3DNZN6KNCSII19%26dib%3DeyJ2IjoiMSJ9.9d3JJHt_Mb7bCieb19LZEJ47ubcMMh0Obcwkk0fmXO8zJULqs1_6SOhCDEFQg_43lASRMDYJJvzIopRRSJpkahYbCTKQfdPtyUPWilcYc6iUFEqZJkBdqrNdYSXQkBSxCm24MuK0scqoea1ZQ2Re9LDXjIjMZnRfERqpblWVCKDUWUBe1d0D-iO6I4-1hvJWAnr1KV-y8DsdzH028_wt1zgIBwTyVOfvkAW2oGfDGYw.e55EiqGeoFcoinWqzNMVrXv-JOjEE4On5dizBI9TIfo%26dib_tag%3Dse%26keywords%3Dmobile%2Bphone%2Bunder%2B20000%26qid%3D1749213437%26sprefix%3DMobile%252Caps%252C320%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger","6,249",https://www.amazon.in/Samsung-Storage-Display-Charging-Security/dp/B0DFY3XCB6/ref=sr_1_8?crid=NZN6KNCSII19&dib=eyJ2IjoiMSJ9.9d3JJHt_Mb7bCieb19LZEJ47ubcMMh0Obcwkk0fmXO8zJULqs1_6SOhCDEFQg_43lASRMDYJJvzIopRRSJpkahYbCTKQfdPtyUPWilcYc6iUFEqZJkBdqrNdYSXQkBSxCm24MuK0scqoea1ZQ2Re9LDXjIjMZnRfERqpblWVCKDUWUBe1d0D-iO6I4-1hvJWAnr1KV-y8DsdzH028_wt1zgIBwTyVOfvkAW2oGfDGYw.e55EiqGeoFcoinWqzNMVrXv-JOjEE4On5dizBI9TIfo&dib_tag=se&keywords=mobile+phone+under+20000&qid=1749213437&sprefix=Mobile%2Caps%2C320&sr=8-8
Related searches,No price found,https://www.amazon.in/s?k=mobile+phone&ref=rsl_sug_0_0&pd_rd_w=GTSh7&content-id=amzn1.sym.b5876297-ded6-4475-876b-d315610bb575:amzn1.sym.b5876297-ded6-4475-876b-d315610bb575&pf_rd_p=b5876297-ded6-4475-876b-d315610bb575&pf_rd_r=YVGHHQ6XZZ2T5BBFZRKV&pd_rd_wg=pLztV&pd_rd_r=1abcbbcf-db3a-4a69-905a-8d3336ae51fb&qid=1749213483
Related searches,No price found,https://www.amazon.in/s?k=mobile+phone&ref=rsl_sug_0_0&pd_rd_w=GTSh7&content-id=amzn1.sym.b5876297-ded6-4475-876b-d315610bb575:amzn1.sym.b5876297-ded6-4475-876b-d315610bb575&pf_rd_p=b5876297-ded6-4475-876b-d315610bb575&pf_rd_r=YVGHHQ6XZZ2T5BBFZRKV&pd_rd_wg=pLztV&pd_rd_r=1abcbbcf-db3a-4a69-905a-8d3336ae51fb&qid=1749213483
Results,"10,999",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODc0OTMxNDMxMDY0Njc3OjE3NDkyMTM0OTI6c3BfYXRmX25leHQ6MzAwNTcyNzAzMTQ1NjMyOjowOjo&url=%2FStorage-Display-Ultra-Thin-Dimensity-Processor%2Fdp%2FB0F4DG9ZH5%2Fref%3Dsr_1_81_sspa%3Fcrid%3DNZN6KNCSII19%26dib%3DeyJ2IjoiMSJ9.gbS765sRl6OxUOvdjjJDJFfGKcYGg-hWa6cDhblHRt8pbErFMTDzRNJupcNUfsbUjswnm26xe8pW_XHRw8vIDEqC6v2-gMr3EkqqeombNtNthLLVU3xcXFsHsLTcqabL1DspXGLscVNpuR1GbWZwHL2xnuYn4DwuEfPAnlgGWyhO-mtNNyMz_-vKkmwhmMBy0oveuracXVlHHirOKZNHOM5t4lVAvZnPeQdwczbE4Hw.7oTlmkf0AO22TnRMKwv6NqX_BCwTGItKcVM-UUO6q7Q%26dib_tag%3Dse%26keywords%3Dmobile%2Bphone%2Bunder%2B20000%26qid%3D1749213492%26sprefix%3DMobile%252Caps%252C320%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Acer Super ZX 5G (Carbon Black, 6GB RAM, 128GB Storage) | 120 Hz FHD+ Display | 5000 mAh Ultra-Thin Battery | Dimensity 6300 5G Processor | Sony 64MP AI Camera","10,999",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODc0OTMxNDMxMDY0Njc3OjE3NDkyMTM0OTI6c3BfYXRmX25leHQ6MzAwNTcyNzAzMTQ1NjMyOjowOjo&url=%2FStorage-Display-Ultra-Thin-Dimensity-Processor%2Fdp%2FB0F4DG9ZH5%2Fref%3Dsr_1_81_sspa%3Fcrid%3DNZN6KNCSII19%26dib%3DeyJ2IjoiMSJ9.gbS765sRl6OxUOvdjjJDJFfGKcYGg-hWa6cDhblHRt8pbErFMTDzRNJupcNUfsbUjswnm26xe8pW_XHRw8vIDEqC6v2-gMr3EkqqeombNtNthLLVU3xcXFsHsLTcqabL1DspXGLscVNpuR1GbWZwHL2xnuYn4DwuEfPAnlgGWyhO-mtNNyMz_-vKkmwhmMBy0oveuracXVlHHirOKZNHOM5t4lVAvZnPeQdwczbE4Hw.7oTlmkf0AO22TnRMKwv6NqX_BCwTGItKcVM-UUO6q7Q%26dib_tag%3Dse%26keywords%3Dmobile%2Bphone%2Bunder%2B20000%26qid%3D1749213492%26sprefix%3DMobile%252Caps%252C320%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Redmi Note 14 5G (Phantom Purple, 8GB RAM 256GB Storage) | Global Debut MTK Dimensity 7025 Ultra | 2100 nits Segment Brightest 120Hz AMOLED | 50MP Sony LYT 600 OIS+EIS Triple Camera","19,999",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODc0OTMxNDMxMDY0Njc3OjE3NDkyMTM0OTI6c3BfYXRmX25leHQ6MzAwNDM1MDA5ODc1NDMyOjowOjo&url=%2FRedmi-Note-14-5G-Dimensity%2Fdp%2FB0DPFST37Y%2Fref%3Dsr_1_82_sspa%3Fcrid%3DNZN6KNCSII19%26dib%3DeyJ2IjoiMSJ9.gbS765sRl6OxUOvdjjJDJFfGKcYGg-hWa6cDhblHRt8pbErFMTDzRNJupcNUfsbUjswnm26xe8pW_XHRw8vIDEqC6v2-gMr3EkqqeombNtNthLLVU3xcXFsHsLTcqabL1DspXGLscVNpuR1GbWZwHL2xnuYn4DwuEfPAnlgGWyhO-mtNNyMz_-vKkmwhmMBy0oveuracXVlHHirOKZNHOM5t4lVAvZnPeQdwczbE4Hw.7oTlmkf0AO22TnRMKwv6NqX_BCwTGItKcVM-UUO6q7Q%26dib_tag%3Dse%26keywords%3Dmobile%2Bphone%2Bunder%2B20000%26qid%3D1749213492%26sprefix%3DMobile%252Caps%252C320%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Vivo T3 Lite 5G Smartphone (Vibrant Green, 6GB Ram 128GB Storage)","12,298.",https://www.amazon.in/Vivo-Smartphone-Vibrant-Green-Storage/dp/B0D93HRDD3/ref=sr_1_83?crid=NZN6KNCSII19&dib=eyJ2IjoiMSJ9.gbS765sRl6OxUOvdjjJDJFfGKcYGg-hWa6cDhblHRt8pbErFMTDzRNJupcNUfsbUjswnm26xe8pW_XHRw8vIDEqC6v2-gMr3EkqqeombNtNthLLVU3xcXFsHsLTcqabL1DspXGLscVNpuR1GbWZwHL2xnuYn4DwuEfPAnlgGWyhO-mtNNyMz_-vKkmwhmMBy0oveuracXVlHHirOKZNHOM5t4lVAvZnPeQdwczbE4Hw.7oTlmkf0AO22TnRMKwv6NqX_BCwTGItKcVM-UUO6q7Q&dib_tag=se&keywords=mobile+phone+under+20000&qid=1749213492&sprefix=Mobile%2Caps%2C320&sr=8-83
"iQOO Z9x 5G (Tornado Green, 6GB RAM, 128GB Storage) | Snapdragon 6 Gen 1 with 560k+ AnTuTu Score | 6000mAh Battery with 7.99mm Slim Design | 44W FlashCharge","13,499",https://www.amazon.in/iQOO-Tornado-Storage-Snapdragon-FlashCharge/dp/B07WHQHNZC/ref=sr_1_84?crid=NZN6KNCSII19&dib=eyJ2IjoiMSJ9.gbS765sRl6OxUOvdjjJDJFfGKcYGg-hWa6cDhblHRt8pbErFMTDzRNJupcNUfsbUjswnm26xe8pW_XHRw8vIDEqC6v2-gMr3EkqqeombNtNthLLVU3xcXFsHsLTcqabL1DspXGLscVNpuR1GbWZwHL2xnuYn4DwuEfPAnlgGWyhO-mtNNyMz_-vKkmwhmMBy0oveuracXVlHHirOKZNHOM5t4lVAvZnPeQdwczbE4Hw.7oTlmkf0AO22TnRMKwv6NqX_BCwTGItKcVM-UUO6q7Q&dib_tag=se&keywords=mobile+phone+under+20000&qid=1749213492&sprefix=Mobile%2Caps%2C320&sr=8-84
